,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
2,10155,2012,Mike Trout,639,0.399,0.26,0.551,0.396,0.469,troum001
3,9166,2012,Buster Posey,610,0.408,0.264,0.607,0.418,0.45,poseb001
18,7007,2012,Yadier Molina,563,0.373,0.306,0.7440000000000001,0.513,0.473,moliy001
0,1744,2012,Miguel Cabrera,697,0.393,0.335,0.7170000000000001,0.496,0.422,cabrm001
4,9847,2012,Andrew McCutchen,673,0.4,0.255,0.698,0.457,0.457,mccua001
7,3269,2012,Robinson Cano,697,0.379,0.346,0.723,0.497,0.401,canor001
13,4720,2012,Chase Headley,699,0.376,0.268,0.708,0.444,0.4,headc001
1,3410,2012,Ryan Braun,677,0.391,0.364,0.6759999999999999,0.494,0.416,braur002
15,3787,2012,David Wright,670,0.391,0.246,0.662,0.426,0.435,wrigd002
8,639,2012,Adrian Beltre,654,0.359,0.386,0.675,0.514,0.444,belta001
27,7435,2012,Ben Zobrist,668,0.377,0.226,0.5760000000000001,0.37,0.413,zobrb001
28,3364,2012,Miguel Montero,573,0.391,0.293,0.716,0.469,0.416,montm001
10,1002,2012,Aramis Ramirez,630,0.36,0.357,0.73,0.521,0.44,ramia001
48,4940,2012,Jason Heyward,651,0.335,0.321,0.67,0.4639999999999999,0.41,heywj001
87,6387,2012,Michael Bourn,703,0.348,0.236,0.623,0.408,0.444,bourm001
22,9848,2012,Austin Jackson,617,0.377,0.235,0.615,0.419,0.485,jacka001
5,4613,2012,Prince Fielder,690,0.412,0.285,0.679,0.44,0.3929999999999999,fielp001
17,6104,2012,Aaron Hill,668,0.36,0.295,0.614,0.441,0.457,hilla001
38,5209,2012,Alex Gordon,721,0.368,0.2769999999999999,0.652,0.444,0.444,gorda001
9,1875,2012,Josh Hamilton,636,0.354,0.45,0.8490000000000001,0.584,0.337,hamij003
39,731,2012,Torii Hunter,584,0.365,0.344,0.696,0.506,0.4589999999999999,huntt001
98,971,2012,Jimmy Rollins,699,0.316,0.272,0.5720000000000001,0.4,0.425,rollj001
6,2151,2012,Edwin Encarnacion,644,0.384,0.239,0.622,0.41,0.447,encae001
12,1873,2012,Matt Holliday,688,0.379,0.312,0.731,0.472,0.3829999999999999,hollm001
16,1857,2012,Joe Mauer,641,0.416,0.223,0.525,0.353,0.429,mauej001
73,2918,2012,Angel Pagan,659,0.338,0.291,0.616,0.431,0.431,pagaa001
56,3312,2012,Martin Prado,690,0.359,0.281,0.489,0.374,0.444,pradm001
78,4298,2012,Matt Wieters,593,0.329,0.322,0.675,0.4639999999999999,0.4029999999999999,wietm001
34,6368,2012,Adam Jones,697,0.334,0.407,0.731,0.545,0.426,jonea003
42,11579,2012,Bryce Harper,597,0.34,0.345,0.746,0.498,0.3829999999999999,harpb003
59,8370,2012,Dustin Pedroia,623,0.347,0.249,0.617,0.423,0.472,pedrd001
31,6885,2012,Ian Desmond,547,0.335,0.368,0.728,0.54,0.478,desmi001
25,13110,2012,Yoenis Cespedes,540,0.356,0.356,0.653,0.478,0.412,cespy001
32,2090,2012,Alex Rios,640,0.334,0.33,0.616,0.465,0.472,riosa002
43,4220,2012,Ryan Zimmerman,641,0.346,0.299,0.57,0.415,0.43,zimmr001
55,4747,2012,Curtis Granderson,684,0.319,0.291,0.621,0.424,0.4029999999999999,granc001
69,1736,2012,Jose Reyes,716,0.347,0.301,0.626,0.4379999999999999,0.424,reyej001
103,9785,2012,Kyle Seager,651,0.316,0.299,0.6829999999999999,0.476,0.46,seagk001
11,2103,2012,Josh Willingham,615,0.366,0.214,0.627,0.401,0.451,willj004
26,9549,2012,David Freese,567,0.372,0.316,0.648,0.4639999999999999,0.446,freed001
86,3892,2012,Josh Reddick,673,0.305,0.3289999999999999,0.725,0.496,0.423,reddj001
99,8709,2012,Elvis Andrus,711,0.349,0.226,0.545,0.386,0.501,andre001
30,4599,2012,Nick Swisher,624,0.364,0.238,0.665,0.412,0.406,swisn001
100,4082,2012,Erick Aybar,554,0.324,0.3779999999999999,0.675,0.51,0.444,aybae001
24,6035,2012,David Murphy,521,0.38,0.282,0.654,0.436,0.414,murpd005
33,1904,2012,Adam LaRoche,647,0.343,0.273,0.674,0.43,0.391,laroa001
40,589,2012,Carlos Beltran,619,0.346,0.308,0.7020000000000001,0.467,0.4029999999999999,beltc001
95,5015,2012,Melvin Upton Jr.,633,0.298,0.321,0.75,0.514,0.45,uptob001
109,9776,2012,Jason Kipnis,672,0.335,0.237,0.605,0.41,0.4679999999999999,kipnj001
35,1177,2012,Albert Pujols,670,0.343,0.356,0.626,0.47,0.425,pujoa001
47,746,2012,A.J. Pierzynski,520,0.326,0.432,0.772,0.575,0.423,piera001
51,826,2012,Derek Jeter,740,0.362,0.307,0.732,0.496,0.445,jeted001
89,791,2012,Brandon Phillips,623,0.321,0.397,0.74,0.539,0.413,philb001
88,3442,2012,Dan Uggla,630,0.348,0.228,0.6709999999999999,0.421,0.436,uggld001
50,847,2012,Alfonso Soriano,615,0.322,0.372,0.6920000000000001,0.501,0.4039999999999999,soria001
36,3174,2012,Shin-Soo Choo,686,0.373,0.2339999999999999,0.659,0.423,0.444,choos001
90,8347,2012,Denard Span,568,0.342,0.223,0.58,0.392,0.473,spand001
117,4892,2012,Mike Moustakas,614,0.296,0.372,0.667,0.494,0.413,mousm001
114,1965,2012,Desmond Jennings,563,0.314,0.27,0.597,0.429,0.485,jennd002
93,4579,2012,Starlin Castro,691,0.323,0.366,0.649,0.496,0.4579999999999999,casts001
19,4062,2012,Dexter Fowler,530,0.389,0.2289999999999999,0.688,0.422,0.421,fowld001
49,6265,2012,Andre Ethier,618,0.351,0.319,0.7140000000000001,0.489,0.429,ethia001
53,1908,2012,Adrian Gonzalez,684,0.344,0.367,0.7240000000000001,0.513,0.41,gonza003
115,3336,2012,Alberto Callaspo,520,0.331,0.206,0.624,0.3929999999999999,0.446,calla001
83,8001,2012,Hanley Ramirez,667,0.322,0.298,0.662,0.461,0.4479999999999999,ramih003
85,6195,2012,Ian Kinsler,731,0.326,0.238,0.628,0.429,0.49,kinsi001
29,9218,2012,Paul Goldschmidt,587,0.359,0.288,0.636,0.439,0.435,goldp001
54,6876,2012,Mark Trumbo,586,0.317,0.395,0.647,0.506,0.442,trumm001
14,7399,2012,Billy Butler,679,0.373,0.295,0.598,0.432,0.452,butlb003
21,7287,2012,Carlos Gonzalez,579,0.371,0.332,0.6779999999999999,0.465,0.384,gonzc001
57,1281,2012,Mark Teixeira,524,0.332,0.267,0.602,0.4029999999999999,0.405,teixm001
58,1760,2012,Cody Ross,528,0.326,0.2789999999999999,0.6559999999999999,0.449,0.45,rossc001
97,4106,2012,Michael Brantley,609,0.348,0.2269999999999999,0.613,0.406,0.4639999999999999,branm003
107,6310,2012,Alcides Escobar,648,0.331,0.321,0.647,0.478,0.48,escoa003
110,9219,2012,Danny Espinosa,658,0.315,0.396,0.7040000000000001,0.523,0.412,espid001
112,1677,2012,Shane Victorino,666,0.321,0.3289999999999999,0.583,0.432,0.406,victs001
64,5677,2012,A.J. Ellis,505,0.373,0.218,0.546,0.37,0.4639999999999999,ellia001
65,5222,2012,Justin Upton,628,0.355,0.262,0.674,0.4429999999999999,0.44,uptoj001
68,2495,2012,Pedro Alvarez,586,0.317,0.3339999999999999,0.69,0.474,0.395,alvap001
63,1274,2012,Alex Rodriguez,529,0.353,0.307,0.6759999999999999,0.46,0.416,rodra001
75,4962,2012,Asdrubal Cabrera,616,0.338,0.292,0.7040000000000001,0.477,0.449,cabra002
74,3371,2012,Alejandro De Aza,585,0.349,0.2739999999999999,0.62,0.427,0.442,deaza001
92,1572,2012,Coco Crisp,508,0.325,0.242,0.64,0.421,0.451,crisc001
41,9892,2012,Jay Bruce,633,0.327,0.285,0.758,0.474,0.3989999999999999,brucj001
61,13075,2012,Nori Aoki,588,0.355,0.267,0.614,0.421,0.4429999999999999,aokin001
72,7539,2012,Neil Walker,530,0.342,0.336,0.635,0.455,0.397,walkn001
82,1555,2012,Marco Scutaro,683,0.348,0.238,0.57,0.4039999999999999,0.499,scutm001
104,9981,2012,Michael Saunders,553,0.306,0.297,0.7090000000000001,0.482,0.45,saunm001
111,1609,2012,Omar Infante,588,0.3,0.3289999999999999,0.63,0.475,0.485,infao001
132,3797,2012,J.J. Hardy,713,0.282,0.298,0.53,0.407,0.469,hardj003
20,3433,2012,Allen Craig,514,0.354,0.28,0.611,0.431,0.456,craia001
108,4229,2012,Howie Kendrick,594,0.325,0.349,0.6609999999999999,0.5,0.485,kendh001
37,1945,2012,Corey Hart,622,0.334,0.278,0.6559999999999999,0.444,0.4379999999999999,hartc001
120,1101,2012,Ichiro Suzuki,663,0.307,0.3389999999999999,0.6559999999999999,0.488,0.4679999999999999,suzui001
23,242,2012,Paul Konerko,598,0.371,0.2789999999999999,0.62,0.439,0.47,konep001
52,319,2012,Adam Dunn,649,0.333,0.239,0.644,0.407,0.415,dunna001
121,4712,2012,Ben Revere,553,0.333,0.273,0.54,0.4,0.475,reveb001
141,10099,2012,Dustin Ackley,668,0.294,0.256,0.568,0.3929999999999999,0.437,ackld001
119,1738,2012,Jhonny Peralta,585,0.305,0.307,0.6990000000000001,0.484,0.451,peraj001
139,5133,2012,Alexei Ramirez,621,0.287,0.405,0.684,0.534,0.46,ramia003
91,5417,2012,Jose Altuve,630,0.34,0.299,0.597,0.4379999999999999,0.467,altuj001
105,5247,2012,Brett Lawrie,536,0.324,0.31,0.669,0.477,0.465,lawrb002
124,2616,2012,Zack Cozart,600,0.288,0.284,0.619,0.449,0.494,cozaz001
136,2430,2012,Darwin Barney,588,0.299,0.312,0.6409999999999999,0.477,0.501,barnd001
46,9272,2012,Chris Davis,562,0.326,0.39,0.7759999999999999,0.542,0.395,davic003
77,1825,2012,David DeJesus,582,0.35,0.251,0.607,0.401,0.422,dejed001
84,1935,2012,Kevin Youkilis,509,0.336,0.2019999999999999,0.5529999999999999,0.37,0.479,youkk001
96,8252,2012,Hunter Pence,688,0.319,0.326,0.684,0.472,0.408,pench001
131,5223,2012,Cameron Maybin,561,0.306,0.262,0.6829999999999999,0.456,0.4589999999999999,maybc001
62,5361,2012,Freddie Freeman,620,0.34,0.318,0.785,0.512,0.415,freef001
44,2714,2012,Garrett Jones,515,0.317,0.36,0.737,0.509,0.396,joneg002
106,4316,2012,Daniel Murphy,612,0.332,0.321,0.648,0.4629999999999999,0.434,murpd006
122,1591,2012,Jamey Carroll,537,0.343,0.236,0.522,0.3779999999999999,0.495,carrj001
45,2161,2012,Jason Kubel,571,0.327,0.28,0.632,0.423,0.408,kubej002
66,8610,2012,Kendrys Morales,522,0.32,0.356,0.7040000000000001,0.499,0.409,morak001
102,1849,2012,Rickie Weeks Jr.,677,0.328,0.213,0.622,0.401,0.4589999999999999,weekr001
135,5986,2012,Mike Aviles,546,0.282,0.321,0.655,0.48,0.477,avilm001
71,1191,2012,Chris Johnson,528,0.326,0.364,0.6659999999999999,0.498,0.445,johnc003
138,4191,2012,Yunel Escobar,608,0.3,0.282,0.635,0.4479999999999999,0.47,escoy001
142,9328,2012,Drew Stubbs,544,0.277,0.241,0.614,0.409,0.451,stubd001
126,9893,2012,Colby Rasmus,625,0.289,0.312,0.675,0.461,0.41,rasmc001
67,2434,2012,Nelson Cruz,642,0.319,0.273,0.711,0.476,0.4639999999999999,cruzn002
94,2530,2012,Yonder Alonso,619,0.348,0.289,0.748,0.482,0.419,alony001
79,8433,2012,Ike Davis,584,0.308,0.289,0.68,0.445,0.4,davii001
129,9015,2012,Gordon Beckham,582,0.296,0.3279999999999999,0.657,0.483,0.471,beckg001
101,3917,2012,Dayan Viciedo,543,0.3,0.391,0.667,0.503,0.407,vicid001
123,2234,2012,Kelly Johnson,581,0.313,0.32,0.688,0.473,0.418,johnk003
125,88,2012,Rafael Furcal,531,0.325,0.27,0.636,0.429,0.434,furcr001
70,7619,2012,Mark Reynolds,538,0.335,0.246,0.669,0.432,0.44,reynm001
113,934,2012,Carlos Pena,600,0.33,0.2689999999999999,0.674,0.43,0.3989999999999999,penac001
116,243,2012,Carlos Lee,615,0.332,0.248,0.604,0.412,0.4589999999999999,lee-c001
81,1737,2012,Justin Morneau,570,0.333,0.379,0.758,0.54,0.424,mornj001
60,2396,2012,Carlos Santana,609,0.365,0.212,0.612,0.389,0.4429999999999999,santc002
80,2677,2012,Jordan Pacheco,505,0.341,0.318,0.647,0.478,0.487,pachj001
140,2498,2012,Jemile Weeks,511,0.305,0.228,0.564,0.385,0.469,weekj001
134,914,2012,Brennan Boesch,503,0.286,0.3879999999999999,0.7090000000000001,0.523,0.418,boesb001
133,9054,2012,Justin Smoak,535,0.29,0.2769999999999999,0.626,0.428,0.434,smoaj001
118,2140,2012,Delmon Young,608,0.296,0.4379999999999999,0.8,0.59,0.42,yound003
137,4792,2012,Jeff Francoeur,603,0.287,0.419,0.706,0.535,0.4039999999999999,franj004
76,2113,2012,Ryan Doumit,528,0.32,0.346,0.6559999999999999,0.482,0.44,doumr001
130,3516,2012,Eric Hosmer,598,0.304,0.33,0.67,0.471,0.414,hosme001
128,5514,2012,Jesus Montero,553,0.298,0.384,0.675,0.514,0.446,montj003
127,1286,2012,Michael Young,651,0.312,0.325,0.706,0.515,0.498,younm003
