,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
1,10155,2019,Mike Trout,600,0.438,0.205,0.612,0.368,0.401,troum001
2,17678,2019,Alex Bregman,690,0.423,0.188,0.588,0.351,0.406,brega001
4,15998,2019,Cody Bellinger,660,0.406,0.268,0.7040000000000001,0.444,0.4039999999999999,bellc002
0,11477,2019,Christian Yelich,580,0.429,0.307,0.7120000000000001,0.452,0.359,yelic001
5,12861,2019,Anthony Rendon,646,0.412,0.238,0.701,0.432,0.419,renda001
27,17350,2019,Rafael Devers,702,0.361,0.405,0.762,0.5489999999999999,0.4039999999999999,dever001
9,9777,2019,Nolan Arenado,662,0.379,0.379,0.733,0.514,0.3829999999999999,arenn001
31,12533,2019,Marcus Semien,747,0.369,0.231,0.687,0.421,0.418,semim001
18,13611,2019,Mookie Betts,706,0.391,0.214,0.615,0.3829999999999999,0.423,bettm001
19,12564,2019,Trevor Story,656,0.363,0.315,0.72,0.48,0.408,stort001
6,13613,2019,Ketel Marte,628,0.389,0.318,0.716,0.476,0.397,martk001
7,12856,2019,George Springer,556,0.383,0.228,0.721,0.44,0.43,sprig001
11,12161,2019,Xander Bogaerts,698,0.384,0.294,0.5770000000000001,0.411,0.413,bogax001
28,9874,2019,DJ LeMahieu,655,0.375,0.302,0.659,0.456,0.43,lemad001
58,12916,2019,Francisco Lindor,654,0.335,0.354,0.737,0.512,0.412,lindf001
61,12979,2019,Javier Baez,561,0.316,0.441,0.743,0.552,0.367,baezj001
8,20123,2019,Juan Soto,659,0.401,0.2339999999999999,0.6859999999999999,0.408,0.385,sotoj001
51,16505,2019,Matt Chapman,670,0.342,0.248,0.65,0.42,0.428,chapm001
73,11739,2019,J.T. Realmuto,593,0.328,0.348,0.731,0.507,0.415,realj001
23,17232,2019,Yoan Moncada,559,0.367,0.327,0.67,0.473,0.427,moncy001
35,18401,2019,Ronald Acuna Jr.,715,0.365,0.267,0.715,0.4529999999999999,0.416,acunr001
42,11368,2019,Yasmani Grandal,632,0.38,0.244,0.595,0.384,0.3989999999999999,grany001
26,5038,2019,Josh Donaldson,659,0.379,0.257,0.718,0.4379999999999999,0.3929999999999999,donaj001
15,15362,2019,Jeff McNeil,567,0.384,0.417,0.85,0.599,0.42,mcnej002
20,2396,2019,Carlos Santana,686,0.397,0.212,0.662,0.3939999999999999,0.4039999999999999,santc002
32,13301,2019,Max Muncy,589,0.374,0.231,0.64,0.4,0.412,muncm001
22,15429,2019,Kris Bryant,634,0.382,0.305,0.76,0.484,0.3939999999999999,bryak001
21,15672,2019,Austin Meadows,591,0.364,0.2739999999999999,0.622,0.422,0.425,meada001
40,15172,2019,Tim Anderson,518,0.357,0.452,0.7759999999999999,0.585,0.411,andet001
16,19251,2019,Pete Alonso,693,0.358,0.346,0.6809999999999999,0.466,0.359,alonp001
13,5361,2019,Freddie Freeman,692,0.389,0.3289999999999999,0.826,0.519,0.3829999999999999,freef001
46,16376,2019,Michael Conforto,648,0.363,0.273,0.7240000000000001,0.457,0.408,confm001
3,2434,2019,Nelson Cruz,521,0.392,0.305,0.72,0.462,0.3779999999999999,cruzn002
29,5417,2019,Jose Altuve,548,0.353,0.327,0.6809999999999999,0.4679999999999999,0.3989999999999999,altuj001
17,12552,2019,Eugenio Suarez,662,0.358,0.266,0.6859999999999999,0.444,0.423,suare001
53,16556,2019,Ozzie Albies,702,0.352,0.379,0.8140000000000001,0.555,0.4039999999999999,albio001
49,16252,2019,Trea Turner,569,0.353,0.319,0.6859999999999999,0.467,0.4039999999999999,turnt001
36,14344,2019,Matt Olson,547,0.351,0.286,0.6759999999999999,0.452,0.425,olsom001
34,5235,2019,Justin Turner,549,0.372,0.281,0.6759999999999999,0.4539999999999999,0.439,turnj001
38,11579,2019,Bryce Harper,682,0.372,0.316,0.773,0.483,0.364,harpb003
77,10071,2019,Jonathan Villar,714,0.339,0.308,0.7509999999999999,0.491,0.414,villj001
39,19198,2019,Yuli Gurriel,612,0.343,0.354,0.693,0.497,0.422,gurry001
10,3473,2019,Anthony Rizzo,613,0.405,0.3379999999999999,0.653,0.456,0.374,rizza001
37,4106,2019,Michael Brantley,637,0.372,0.292,0.615,0.437,0.449,branm003
50,12144,2019,Max Kepler,596,0.336,0.307,0.758,0.493,0.414,keplm001
25,14221,2019,Jorge Soler,679,0.354,0.271,0.7070000000000001,0.44,0.3879999999999999,solej001
98,18015,2019,Paul DeJong,664,0.318,0.311,0.7140000000000001,0.487,0.439,dejop001
45,16997,2019,Gleyber Torres,604,0.337,0.351,0.763,0.518,0.406,torrg001
55,9241,2019,Starling Marte,586,0.342,0.364,0.774,0.5329999999999999,0.412,marts002
71,13624,2019,Corey Seager,541,0.335,0.307,0.795,0.511,0.419,seagc001
14,6184,2019,J.D. Martinez,657,0.383,0.318,0.757,0.495,0.402,martj006
33,19326,2019,Bryan Reynolds,546,0.377,0.311,0.742,0.479,0.39,reynb001
79,13510,2019,Jose Ramirez,542,0.327,0.264,0.642,0.423,0.421,ramij003
84,9774,2019,Christian Vazquez,521,0.32,0.352,0.69,0.499,0.435,vazqc001
81,12532,2019,Kolten Wong,549,0.361,0.314,0.696,0.474,0.418,wongk001
107,18363,2019,Victor Robles,617,0.326,0.319,0.7140000000000001,0.489,0.43,roblv001
65,9927,2019,Brett Gardner,550,0.325,0.248,0.56,0.384,0.435,gardb001
63,9218,2019,Paul Goldschmidt,682,0.346,0.314,0.677,0.4639999999999999,0.413,goldp001
30,15149,2019,Trey Mancini,679,0.364,0.3339999999999999,0.698,0.481,0.406,manct001
56,13152,2019,Jorge Polanco,704,0.356,0.285,0.672,0.446,0.416,polaj001
111,12147,2019,Nick Ahmed,625,0.316,0.31,0.7340000000000001,0.493,0.432,ahmen001
113,15986,2019,Willy Adames,584,0.317,0.275,0.703,0.469,0.4529999999999999,adamw002
64,13419,2019,Christian Walker,603,0.348,0.282,0.78,0.487,0.412,walkc002
72,11281,2019,Whit Merrifield,735,0.348,0.341,0.691,0.491,0.429,merrw001
105,17992,2019,David Fletcher,653,0.35,0.253,0.487,0.362,0.465,fletd002
59,2967,2019,Tommy Pham,654,0.369,0.2,0.631,0.384,0.428,phamt001
24,13145,2019,Josh Bell,613,0.367,0.302,0.778,0.481,0.377,bellj005
70,6153,2019,Eduardo Escobar,699,0.32,0.408,0.711,0.525,0.386,escoe001
43,15117,2019,Hunter Dozier,586,0.348,0.301,0.66,0.447,0.406,dozih001
60,4892,2019,Mike Moustakas,584,0.329,0.34,0.742,0.498,0.3929999999999999,mousm001
41,11899,2019,Joc Pederson,514,0.339,0.302,0.68,0.457,0.412,pedej001
68,18289,2019,Brian Anderson,520,0.342,0.348,0.659,0.475,0.41,andeb006
99,15223,2019,Adam Frazier,608,0.336,0.309,0.7040000000000001,0.48,0.432,fraza001
47,11737,2019,Nick Castellanos,664,0.337,0.409,0.763,0.547,0.39,castn001
57,10322,2019,Danny Santana,511,0.324,0.419,0.742,0.556,0.424,santd001
69,11205,2019,Adam Eaton,656,0.365,0.282,0.632,0.431,0.427,eatoa002
87,11200,2019,Kole Calhoun,632,0.325,0.29,0.752,0.481,0.414,calhk001
